review_text,rating,date,clean_review,baseline_sentiment,translated_review
यो एप धेरै राम्रो लाग्यो मलाई म यो एप लाइ सुरु देखि नै प्रयोग गर्दै आइ रहेको छु तर यसमा अझै धेरै सुबिधा हरु ल्याउन जरुरी छ क्यास ब्याक पनि धेरै राम्रो दिएको छ अरु एप को तुलनामा र यो एप्लिकेसन लाइ ओफ लाइमा चलाउन को लागि बनाउन जरुरि छ धेरै कुरा हरु सुधार गर्नु पर्ने देखिन्छ उसरि त एकदमै राम्रो एप लाग्यो मलाई शुभकामना छ यसरि नै अगाडी पुगोस्,5,2021-11-23 20:49:45,यो एप धेरै राम्रो लाग्यो मलाई म यो एप लाइ सुरु देखि नै प्रयोग गर्दै आइ रहेको छु तर यसमा अझै धेरै सुबिधा हरु ल्याउन जरुरी छ क्यास ब्याक पनि धेरै राम्रो दिएको छ अरु एप को तुलनामा र यो एप्लिकेसन लाइ ओफ लाइमा चलाउन को लागि बनाउन जरुरि छ धेरै कुरा हरु सुधार गर्नु पर्ने देखिन्छ उसरि त एकदमै राम्रो एप लाग्यो मलाई शुभकामना छ यसरि नै अगाडी पुगोस्,Good,"This app is very good, I have been using this app since the beginning, but it needs more features, the cash back is also very good compared to other apps, and this app needs to be made to run offline. It seems that many things need to be improved, so it is a very good app. I wish you the best. Keep it up."
Overall Good app in competitive market. Moru needs to add more features to attract people to use.,4,2021-11-22 18:49:12,overall good app in competitive market moru needs to add more features to attract people to use,Good,overall good app in competitive market moru needs to add more features to attract people to use
Service is medium but design is very poor,2,2021-11-22 02:14:14,service is medium but design is very poor,Bad,service is medium but design is very poor
Best earnings sites,5,2021-11-21 15:39:49,best earnings sites,Good,best earnings sites
simu,2,2021-11-21 05:31:58,simu,Bad,telephone
very good,5,2021-11-18 07:12:39,very good,Good,very good
Waste of time using this app..I sent email to delete my account on 26 October and till no any reply from the moru team..I called then twice to delete the account so that I will open moru account from another number..therefore I planned not to use this app anymore if there is zero response from the team..,1,2021-11-16 09:20:10,waste of time using this appi sent email to delete my account on october and till no any reply from the moru teami called then twice to delete the account so that i will open moru account from another numbertherefore i planned not to use this app anymore if there is zero response from the team,Bad,waste of time using this appi sent email to delete my account on october and till no any reply from the moru teami called then twice to delete the account so that i will open moru account from another numbertherefore i planned not to use this app anymore if there is zero response from the team
nice,5,2021-11-14 21:59:53,nice,Good,nice
While sharing now One can only get Rs. 6.. It's too low than before.,3,2021-11-14 07:07:56,while sharing now one can only get rs its too low than before,Neutral,while sharing now one can only get rs its too low than before
Serval times i tried to verify KYC. I Completed filling all the requirement but i didn't got any response nither KYC Was verified. I tried this through my and my parents account but the result was same😑,3,2021-11-13 08:06:48,serval times i tried to verify kyc i completed filling all the requirement but i didnt got any response nither kyc was verified i tried this through my and my parents account but the result was same,Neutral,serval times i tried to verify kyc i completed filling all the requirement but i didnt got any response nither kyc was verified i tried this through my and my parents account but the result was same
App is auto back,3,2021-11-13 07:58:25,app is auto back,Neutral,app is auto back
"Better facilities than other wallets, keep it up",5,2021-11-10 12:01:49,better facilities than other wallets keep it up,Good,better facilities than other wallets keep it up
I like this digital wallet rather than other wallet,5,2021-11-06 12:15:54,i like this digital wallet rather than other wallet,Good,i like this digital wallet rather than other wallet
Very good app.,5,2021-11-05 13:06:22,very good app,Good,very good app
This is fraud app totally scam,1,2021-11-05 09:02:57,this is fraud app totally scam,Bad,this is fraud app totally scam
This app is excellent and free bank transfer is unique feature but sometimes i face problem on load fund from mbank. Sometime amount debited by bank but not fund loaded in moru,4,2021-11-03 16:08:27,this app is excellent and free bank transfer is unique feature but sometimes i face problem on load fund from mbank sometime amount debited by bank but not fund loaded in moru,Good,this app is excellent and free bank transfer is unique feature but sometimes i face problem on load fund from mbank sometime amount debited by bank but not fund loaded in moru
I like all features but limit should be at least minimum 10000 per transaction.,4,2021-11-03 00:47:06,i like all features but limit should be at least minimum per transaction,Good,i like all features but limit should be at least minimum per transaction
It's nice,5,2021-11-02 16:36:58,its nice,Good,its nice
Almost bank are added nice but in remittance field we have to fill district and agent not good so make national and international for best and one code can work one country not distict?,3,2021-11-02 14:18:41,almost bank are added nice but in remittance field we have to fill district and agent not good so make national and international for best and one code can work one country not distict,Neutral,almost bank are added nice but in remittance field we have to fill district and agent not good so make national and international for best and one code can work one country not distict
It's good app but I don't know more about it. For knowing more about it what I have to do.......?,5,2021-11-02 11:59:45,its good app but i dont know more about it for knowing more about it what i have to do,Good,its good app but i dont know more about it for knowing more about it what i have to do
very nice aap,5,2021-11-01 14:58:21,very nice aap,Good,very nice
nice aapps,5,2021-11-01 13:53:41,nice aapps,Good,nice aapps
Np good,1,2021-11-01 09:56:33,np good,Bad,np good
not good,1,2021-11-01 09:22:41,not good,Bad,not good
Very useful app,5,2021-11-01 09:21:55,very useful app,Good,very useful app
Bad no work,1,2021-11-01 09:09:52,bad no work,Bad,bad no work
Best,5,2021-11-01 08:54:51,best,Good,best
Refer Garda paisa nai didaina ta k vako?,1,2021-10-29 19:25:23,refer garda paisa nai didaina ta k vako,Bad,refer to guards there is no didain
it's good app and I'm satisfied used this app.,5,2021-10-28 06:19:47,its good app and im satisfied used this app,Good,its good app and im satisfied used this app
nice,5,2021-10-27 21:26:56,nice,Good,nice
"Best digital wallet of Nepal,",5,2021-10-27 11:24:22,best digital wallet of nepal,Good,best digital wallet of nepal
Awesome app !!!,5,2021-10-26 10:33:26,awesome app,Good,awesome app
Very good app keep it up,5,2021-10-25 22:57:24,very good app keep it up,Good,very good app keep it up
it's very important to us .moru earn money quickly,5,2021-10-24 19:58:39,its very important to us moru earn money quickly,Good,its very important to us moru earn money quickly
good,5,2021-10-22 16:01:15,good,Good,good
Good,5,2021-10-21 20:38:32,good,Good,good
i like this apps good luck,5,2021-10-21 18:44:48,i like this apps good luck,Good,i like this apps good luck
This wallet is best and please keep in some earnings method,5,2021-10-20 19:19:16,this wallet is best and please keep in some earnings method,Good,this wallet is best and please keep in some earnings method
You need add manju Shree finance bank also for load money. Everything good please add it .,1,2021-10-20 14:16:35,you need add manju shree finance bank also for load money everything good please add it,Bad,you need add manju shree finance bank also for load money everything good please add it
this is very useful app,5,2021-10-20 12:14:45,this is very useful app,Good,this is very useful app
Best experience,4,2021-10-20 08:16:24,best experience,Good,best experience
Abc,5,2021-10-19 20:48:16,abc,Good,abc
"Awesome app, Dami xa tah , With free charge , Just love it ❤️❤️❤️❤️❤️❤️❤️",5,2021-10-19 08:27:31,awesome app dami xa tah with free charge just love it,Good,awesome app dami xa tah with free charge just love it
worst,1,2021-10-17 18:26:25,worst,Bad,worst
Great app,5,2021-10-13 20:47:06,great app,Good,great app
I just sent money from another device but the money isn't coming to my device,1,2021-10-13 20:23:55,i just sent money from another device but the money isnt coming to my device,Bad,i just sent money from another device but the money isnt coming to my device
Problem vaneko 2/3 din vaisakda pani solve garne atto patto hidaina call garda hudaixa vanney Whatsapp maa reply nagarne🥺🥺,1,2021-10-13 06:50:43,problem vaneko din vaisakda pani solve garne atto patto hidaina call garda hudaixa vanney whatsapp maa reply nagarne,Bad,Problem vaniko din vaisakada pani sal garane attho patto hidina call garuda hudaiksa vanney whatsapp ma reply nagarane
This is just great wallet but i think moru should change background colour put something light colour i give you guys full 5 🌟🤩,5,2021-10-12 14:32:29,this is just great wallet but i think moru should change background colour put something light colour i give you guys full,Good,this is just great wallet but i think moru should change background colour put something light colour i give you guys full
Best app,5,2021-10-12 12:26:03,best app,Good,best app
Good,5,2021-10-12 09:49:45,good,Good,good
stil room for many improvement,3,2021-10-11 15:10:21,stil room for many improvement,Neutral,stil room for many improvement
Please add manju shree finance limited also for load money .,4,2021-10-09 18:57:27,please add manju shree finance limited also for load money,Good,please add manju shree finance limited also for load money
I will try to,5,2021-10-09 16:02:50,i will try to,Good,i will try to
i don't have money,1,2021-10-08 15:32:55,i dont have money,Bad,i dont have money
i really like this aap more than other❤️ no any problem to load money from mobile banking just love it❤️,5,2021-10-07 11:35:33,i really like this aap more than other no any problem to load money from mobile banking just love it,Good,i really like this aap more than other no any problem to load money from mobile banking just love it
This app don't give rs 5000 after 1 month. After kyc verified,1,2021-10-06 15:37:56,this app dont give rs after month after kyc verified,Bad,this app dont give rs after month after kyc verified
good,5,2021-10-04 14:25:07,good,Good,good
Nice payment app,5,2021-10-03 21:23:12,nice payment app,Good,nice payment app
nice. App,5,2021-10-02 08:59:41,nice app,Good,nice app
it's very good system,5,2021-10-02 07:17:17,its very good system,Good,its very good system
this app is very amazing,5,2021-10-01 16:41:58,this app is very amazing,Good,this app is very amazing
"I feel very comfortable using this app in comparison to other apps. However app is still to be improved. Following are some issues I have faced:- 1. Loading fund some times takes more time (25-30 mins) 2. Not all banks are linked, like Nepal SBI So I suggest to the Team make it more convenient and Quick. Remainings are good. Thanks",4,2021-10-01 13:49:44,i feel very comfortable using this app in comparison to other apps however app is still to be improved following are some issues i have faced loading fund some times takes more time mins not all banks are linked like nepal sbi so i suggest to the team make it more convenient and quick remainings are good thanks,Good,i feel very comfortable using this app in comparison to other apps however app is still to be improved following are some issues i have faced loading fund some times takes more time mins not all banks are linked like nepal sbi so i suggest to the team make it more convenient and quick remainings are good thanks
Bad service. Amount is kept on hold for long time while transferring to bank acc. Not useful apps.,1,2021-10-01 09:59:30,bad service amount is kept on hold for long time while transferring to bank acc not useful apps,Bad,bad service amount is kept on hold for long time while transferring to bank acc not useful apps
moru..digital .apk,5,2021-09-28 20:50:59,morudigital apk,Good,morudigital apk
Perfect app,5,2021-09-28 15:00:57,perfect app,Good,perfect app
Randi ko xoro mg thaagxas manxi Lai dis hanxas Tesai manxi ko time loss gareko xa vate,1,2021-09-28 10:39:24,randi ko xoro mg thaagxas manxi lai dis hanxas tesai manxi ko time loss gareko xa vate,Bad,You are the like of the stomm goro.
Love,5,2021-09-28 02:36:23,love,Good,love
How to used this application,5,2021-09-27 22:27:19,how to used this application,Good,how to used this application
Id disabled garera mero Rs25000 scam garyo moru le ma police report garxu,1,2021-09-27 18:58:01,id disabled garera mero rs scam garyo moru le ma police report garxu,Bad,the id disabled garra love rs scamy scape
good,3,2021-09-27 17:43:19,good,Neutral,good
I like it's free bank transfer feature.,5,2021-09-27 16:21:03,i like its free bank transfer feature,Good,i like its free bank transfer feature
Super,5,2021-09-27 15:32:57,super,Good,super
Nice,4,2021-09-27 11:46:34,nice,Good,nice
Clear app,3,2021-09-27 06:42:14,clear app,Neutral,clear app
Sachai Kai ho ke yo 500 free .ma,5,2021-09-26 22:44:08,sachai kai ho ke yo free ma,Good,You are free mother of the truth.
Plze give me pisa,5,2021-09-26 07:04:12,plze give me pisa,Good,please give in
good moru,5,2021-09-25 10:56:30,good moru,Good,good moru
ok,5,2021-09-24 20:00:04,ok,Good,ok
I dont know how to ise but i thik it is useable😁😁,5,2021-09-23 19:13:15,i dont know how to ise but i thik it is useable,Good,i dont know how to ise but i thik it is useable
Useless,1,2021-09-23 16:04:54,useless,Bad,useless
very good app,5,2021-09-22 12:40:57,very good app,Good,very good app
No charge for transferring funds from one bank to another attracts most of the user. Best wishes Moru Team.,5,2021-09-21 23:52:24,no charge for transferring funds from one bank to another attracts most of the user best wishes moru team,Good,no charge for transferring funds from one bank to another attracts most of the user best wishes moru team
Best digital wallet ever. I'd like to suggest you to link more merchants and business firms to make the digital payments more easy.,5,2021-09-20 18:19:19,best digital wallet ever id like to suggest you to link more merchants and business firms to make the digital payments more easy,Good,best digital wallet ever id like to suggest you to link more merchants and business firms to make the digital payments more easy
nice 👍 application,5,2021-09-20 11:32:06,nice application,Good,nice application
Fake apps,5,2021-09-19 11:04:29,fake apps,Good,fake apps
Wow,5,2021-09-19 08:46:15,wow,Good,wow
wowowo it's nice. earnings app,5,2021-09-18 12:43:15,wowowo its nice earnings app,Good,wowowo its nice earnings app
it's not bad,3,2021-09-17 09:32:22,its not bad,Neutral,its not bad
good app,5,2021-09-16 19:29:17,good app,Good,good app
Good,5,2021-09-16 16:50:53,good,Good,good
very good,5,2021-09-16 12:44:36,very good,Good,very good
It help in earning moneybat home,5,2021-09-15 15:33:35,it help in earning moneybat home,Good,it help in earning moneybat home
after uploading kyc form .i found mistake in my kyc instead of bahadur i wrote bhadur how can i edit agin.. thats the reason by kyc is not verified ?,1,2021-09-15 10:30:23,after uploading kyc form i found mistake in my kyc instead of bahadur i wrote bhadur how can i edit agin thats the reason by kyc is not verified,Bad,after uploading kyc form i found mistake in my kyc instead of bahadur i wrote bhadur how can i edit agin thats the reason by kyc is not verified
good,5,2021-09-14 16:54:11,good,Good,good
मस्त,1,2021-09-14 14:20:59,मस्त,Bad,cool
Best digital payment app...,5,2021-09-14 13:36:00,best digital payment app,Good,best digital payment app
व्यावसायीलाई क्यासब्याक बढाउन पर्‍यो ब्याङ्क ट्रान्सफर निःशुल्क हुनाले हरेक दिन यो वालेट खोल्नै पर्छ मलाई 😍,4,2021-09-13 22:56:04,व्यावसायीलाई क्यासब्याक बढाउन पर्यो ब्याङ्क ट्रान्सफर निःशुल्क हुनाले हरेक दिन यो वालेट खोल्नै पर्छ मलाई,Good,Business needs to increase cashback Bank transfer is free so I have to open this wallet every day
like this,5,2021-09-13 18:42:57,like this,Good,like this
very nice app,3,2021-09-13 02:52:55,very nice app,Neutral,very nice app
this app is good 👌,5,2021-09-12 13:19:37,this app is good,Good,this app is good
I like him apps,1,2021-09-12 11:31:52,i like him apps,Bad,i like him apps
good,5,2021-09-12 11:24:25,good,Good,good
"I think this application is very very good ! means that it's app makes money 💰 for student!! I given 5 star 🌟🔯 This is 100% Real App, For Make Money 💰 Online Fast By Refer I given a first comment in the play store Make Digital Nepal #Moru_App",5,2021-09-12 00:07:39,i think this application is very very good means that its app makes money for student i given star this is real app for make money online fast by refer i given a first comment in the play store make digital nepal moruapp,Good,i think this application is very very good means that its app makes money for student i given star this is real app for make money online fast by refer i given a first comment in the play store make digital nepal moruapp
This is a best app,5,2021-09-11 15:45:46,this is a best app,Good,this is a best app
wow its too good app,4,2021-09-10 23:07:04,wow its too good app,Good,wow its too good app
I am happy but the payment given by moru is completely less.only 11 so i sure and suggest you payment is increase 30 only,2,2021-09-09 11:03:57,i am happy but the payment given by moru is completely lessonly so i sure and suggest you payment is increase only,Bad,i am happy but the payment given by moru is completely lessonly so i sure and suggest you payment is increase only
good,5,2021-09-08 22:46:52,good,Good,good
गुड,5,2021-09-08 22:22:28,गुड,Good,Good
ok,1,2021-09-08 14:15:46,ok,Bad,ok
nice,5,2021-09-08 08:55:18,nice,Good,nice
good nepali app for bill payment,5,2021-09-08 08:24:49,good nepali app for bill payment,Good,good nepali app for bill payment
Please dont use this wallet deposit garda bank bata katxa but moru ma aaudaina ani support sanga nai kura garnu parxa 1 din paxi matra haldinxa so dont use natra 1 din sama paisa freez hunxa,1,2021-09-08 07:57:50,please dont use this wallet deposit garda bank bata katxa but moru ma aaudaina ani support sanga nai kura garnu parxa din paxi matra haldinxa so dont use natra din sama paisa freez hunxa,Bad,please dont use this wallet deposit garda bank bata katxa but moru ma audaina ani support sanga nai kura garnu parxa din paxi matra haldinxa so dont use every day only paisa freeze hunxa
love you nepal,5,2021-09-07 19:31:02,love you nepal,Good,love you nepal
nice,5,2021-09-07 17:09:32,nice,Good,nice
bank withdrawal free vayera dami lagyo,5,2021-09-06 20:54:41,bank withdrawal free vayera dami lagyo,Good,Bank Withdrawal Free bro looks expensive
it is good app it is very helpfull,5,2021-09-06 19:50:04,it is good app it is very helpfull,Good,it is good app it is very helpfull
यो एप मा मेरो त पैसा आएन।,3,2021-09-06 14:31:57,यो एप मा मेरो त पैसा आएन।,Neutral,I didn't get any money from this app.
why not my kyc updated ?,5,2021-09-05 18:36:25,why not my kyc updated,Good,why not my kyc updated
best income app,5,2021-09-05 11:43:30,best income app,Good,best income app
good service,5,2021-09-05 09:16:57,good service,Good,good service
best app,5,2021-09-04 22:14:25,best app,Good,best app
Omg this is amazing app i am sign up and I got 11rupies bonus,5,2021-09-04 12:25:32,omg this is amazing app i am sign up and i got rupies bonus,Good,omg this is amazing app i am sign up and i got rupies bonus
Thank you,5,2021-09-04 10:59:36,thank you,Good,thank you
this app is very nice,5,2021-09-04 00:10:09,this app is very nice,Good,this app is very nice
I'm First time Start using this app...,5,2021-09-03 23:01:09,im first time start using this app,Good,im first time start using this app
good but need more cashback points,4,2021-09-03 00:59:11,good but need more cashback points,Good,good but need more cashback points
Feeling good using it,5,2021-09-02 20:22:04,feeling good using it,Good,feeling good using it
good,5,2021-09-02 16:54:44,good,Good,good
Lalita thami1,5,2021-09-02 13:03:44,lalita thami,Good,Lalit Thami
Maile 11 rs matra paye earn garne tarika vndinus,2,2021-09-02 07:11:28,maile rs matra paye earn garne tarika vndinus,Bad,"I got only juice, the way to get rid of it was Vandinus."
good,5,2021-09-01 20:40:19,good,Good,good
kis bank m amount deposit hoga,5,2021-09-01 15:45:21,kis bank m amount deposit hoga,Good,kis bank m amount deposit hoga
good,5,2021-09-01 10:49:01,good,Good,good
nice app,5,2021-09-01 06:53:29,nice app,Good,nice app
This is good application,5,2021-09-01 05:48:07,this is good application,Good,this is good application
App j pani hos... Tara recharge garna paiyo 11 ko lahar le... Tesko lagi 5 star,5,2021-08-31 22:56:41,app j pani hos tara recharge garna paiyo ko lahar le tesko lagi star,Good,App Japani Hos Tara Recharge Garn Piyo Ko Lahar Le Tesco Lagi Star
this app is really good,5,2021-08-31 10:49:09,this app is really good,Good,this app is really good
Great app,5,2021-08-30 22:49:53,great app,Good,great app
very impressive app...bt sometime qr code isn't working properly...,3,2021-08-30 20:54:05,very impressive appbt sometime qr code isnt working properly,Neutral,very impressive appbt sometime qr code isnt working properly
good,5,2021-08-30 18:24:40,good,Good,good
Good,5,2021-08-30 11:07:14,good,Good,good
"This is app is good. But this app cannot work in offline mode like mobile topup, data pack. If this app can work in offline mode for only some transactions like mobile topup, data pack then this app will be amazing apps for user.",3,2021-08-29 22:49:34,this is app is good but this app cannot work in offline mode like mobile topup data pack if this app can work in offline mode for only some transactions like mobile topup data pack then this app will be amazing apps for user,Neutral,this is app is good but this app cannot work in offline mode like mobile topup data pack if this app can work in offline mode for only some transactions like mobile topup data pack then this app will be amazing apps for user
This is good app,5,2021-08-28 20:15:20,this is good app,Good,this is good app
better,5,2021-08-28 18:12:12,better,Good,better
Really nice app,5,2021-08-27 21:55:36,really nice app,Good,really nice app
where is my money I haven't received yet 😔,1,2021-08-27 12:43:23,where is my money i havent received yet,Bad,where is my money i havent received yet
Dehrai ramro xa,1,2021-08-27 12:07:59,dehrai ramro xa,Bad,"Forever, ramro, like me"
please give me a 500 rs,5,2021-08-27 09:40:08,please give me a rs,Good,please give me a rs
Very very very very very ..... useful app for me,5,2021-08-26 18:04:27,very very very very very useful app for me,Good,very very very very very useful app for me
Best mobile wallet application and I love the free bank transfer.,5,2021-08-26 15:48:11,best mobile wallet application and i love the free bank transfer,Good,best mobile wallet application and i love the free bank transfer
Can i get free data for this app,4,2021-08-26 12:38:30,can i get free data for this app,Good,can i get free data for this app
ATRTASARTATAttasrr,1,2021-08-26 11:42:07,atrtasartatattasrr,Bad,atrtasartatattasrr
कुन कुन देश को सिम बाट खोल्न मिल्छ होला सर,1,2021-08-26 05:49:28,कुन कुन देश को सिम बाट खोल्न मिल्छ होला सर,Bad,"From which country can it be opened, sir?"
awesome,4,2021-08-25 16:32:03,awesome,Good,awesome
this is great,5,2021-08-25 15:32:25,this is great,Good,this is great
topup,5,2021-08-25 15:31:13,topup,Good,top up
bhyana,5,2021-08-25 12:37:47,bhyana,Good,भ्याना
Nice application,4,2021-08-25 10:28:02,nice application,Good,nice application
useful appp,4,2021-08-24 23:50:00,useful appp,Good,useful appp
10 rupaya kahai mero 😡😡,1,2021-08-24 12:43:18,rupaya kahai mero,Bad,where is the rupee mine
This is very good app that I have ever seen it so try it and earn money 🔥🔥👌👌,5,2021-08-24 12:35:24,this is very good app that i have ever seen it so try it and earn money,Good,this is very good app that i have ever seen it so try it and earn money
i love this application,5,2021-08-23 15:46:00,i love this application,Good,i love this application
Nice,5,2021-08-23 14:56:35,nice,Good,nice
it's too good,5,2021-08-23 11:12:38,its too good,Good,its too good
"well but,it has improved to offline also",3,2021-08-22 13:26:40,well butit has improved to offline also,Neutral,well butit has improved to offline also
nice plz coin plz😭😭😭🙏🙏🙏🙏,5,2021-08-22 10:26:39,nice plz coin plz,Good,nice plz coin plz
Don`T trust this app. Tanscaction always fails. It can even hack privacy. Don`t install it. Scam!!!,1,2021-08-21 10:38:45,dont trust this app tanscaction always fails it can even hack privacy dont install it scam,Bad,dont trust this app tanscaction always fails it can even hack privacy dont install it scam
great job ❣❣😘😘,5,2021-08-21 06:44:15,great job,Good,great job
fake app ..fool.complet fake one ..i i dont need it it a complet fake,1,2021-08-20 12:28:30,fake app foolcomplet fake one i i dont need it it a complet fake,Bad,fake app foolcomplet fake one i i dont need it it a complet fake
I cannot load money in more app from century bank account please help me,1,2021-08-20 10:16:15,i cannot load money in more app from century bank account please help me,Bad,i cannot load money in more app from century bank account please help me
good app,1,2021-08-20 07:33:40,good app,Bad,good app
nice,5,2021-08-19 19:42:26,nice,Good,nice
I have more than 5 years teaching experience,4,2021-08-19 17:08:43,i have more than years teaching experience,Good,i have more than years teaching experience
Good app,5,2021-08-19 16:53:36,good app,Good,good app
thank you,5,2021-08-18 18:57:07,thank you,Good,thank you
good,5,2021-08-18 11:33:30,good,Good,good
earn to money,5,2021-08-18 11:31:16,earn to money,Good,earn to money
plese blc,5,2021-08-17 23:27:10,plese blc,Good,dance blc
Nice App,5,2021-08-17 21:15:01,nice app,Good,nice app
Lila stha,1,2021-08-17 13:52:43,lila stha,Bad,Leela St
The device problem is very bad. Once a device login moru app then again login . Then it cant give money. When login in same device. Either the sims are different.,5,2021-08-16 21:30:42,the device problem is very bad once a device login moru app then again login then it cant give money when login in same device either the sims are different,Good,the device problem is very bad once a device login moru app then again login then it cant give money when login in same device either the sims are different
Good,5,2021-08-16 21:07:42,good,Good,good
best wallet in Nepal,5,2021-08-16 08:54:48,best wallet in nepal,Good,best wallet in nepal
👍🔥⭐⭐⭐⭐🌟,5,2021-08-16 06:53:39,,Good,NaN
excellent,5,2021-08-15 19:18:13,excellent,Good,excellent
opps,5,2021-08-15 17:17:01,opps,Good,opps
okay dear,5,2021-08-15 17:13:07,okay dear,Good,okay dear
good,5,2021-08-15 17:11:03,good,Good,good
I think Worst app. I always upload money in this app and always at the end of transactions failed. Always and always. But my money debited from my account. Not trust app.,1,2021-08-15 13:39:38,i think worst app i always upload money in this app and always at the end of transactions failed always and always but my money debited from my account not trust app,Bad,i think worst app i always upload money in this app and always at the end of transactions failed always and always but my money debited from my account not trust app
thanks moru team..🥰🥰🥰🥰,5,2021-08-15 13:11:33,thanks moru team,Good,thanks moru team
Best digital wallet,1,2021-08-15 12:12:11,best digital wallet,Bad,best digital wallet
Best app,5,2021-08-15 00:09:11,best app,Good,best app
My reffer codes is not working it says ..refer code is not working when i try to refer it....please solve the issues fast,5,2021-08-14 10:20:38,my reffer codes is not working it says refer code is not working when i try to refer itplease solve the issues fast,Good,my reffer codes is not working it says refer code is not working when i try to refer itplease solve the issues fast
good,1,2021-08-13 12:15:38,good,Bad,good
Very good apk WALLET. I like this app.,5,2021-08-13 06:45:57,very good apk wallet i like this app,Good,very good apk wallet i like this app
The best digital wallet in nepal,5,2021-08-12 21:56:48,the best digital wallet in nepal,Good,the best digital wallet in nepal
PRA dip 20,5,2021-08-12 20:02:41,pra dip,Good,pra dip
It is not opening in my phone. Plz solve this problem,1,2021-08-12 19:04:38,it is not opening in my phone plz solve this problem,Bad,it is not opening in my phone plz solve this problem
I will first time used top up recharge cash back is 3% it's good for as but I'll load money in my bank bank account show withdrawn this amount but moru not show in moru wallet in after 3 hour,1,2021-08-11 13:14:56,i will first time used top up recharge cash back is its good for as but ill load money in my bank bank account show withdrawn this amount but moru not show in moru wallet in after hour,Bad,i will first time used top up recharge cash back is its good for as but ill load money in my bank bank account show withdrawn this amount but moru not show in moru wallet in after hour
best app but never giving a money,5,2021-08-11 11:03:15,best app but never giving a money,Good,best app but never giving a money
How to use this app,1,2021-08-10 10:20:47,how to use this app,Bad,how to use this app
Op,5,2021-08-09 11:59:53,op,Good,op
What a wonderful app. The speed to top up is fast . I like this app very much. Thanks for the creater for this app. I love this app♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,5,2021-08-09 11:26:17,what a wonderful app the speed to top up is fast i like this app very much thanks for the creater for this app i love this app,Good,what a wonderful app the speed to top up is fast i like this app very much thanks for the creater for this app i love this app
राम्राे,3,2021-08-08 15:08:11,राम्राे,Neutral,good ones
no cost for bank transfer. best thing download everyone,5,2021-08-08 14:22:40,no cost for bank transfer best thing download everyone,Good,no cost for bank transfer best thing download everyone
best service,5,2021-08-08 11:19:33,best service,Good,best service
good,5,2021-08-07 12:09:09,good,Good,good
I have load money from bank but in my wallet balance isn't transfered ruppes has been cut off from my bank account..,2,2021-08-07 06:11:21,i have load money from bank but in my wallet balance isnt transfered ruppes has been cut off from my bank account,Bad,i have load money from bank but in my wallet balance isnt transfered ruppes has been cut off from my bank account
superp app for mobile wallet,5,2021-08-06 21:15:19,superp app for mobile wallet,Good,superp app for mobile wallet
I load money from my bank account and money was deducted from my bank account but not credited in my moru wallet.,1,2021-08-06 18:02:23,i load money from my bank account and money was deducted from my bank account but not credited in my moru wallet,Bad,i load money from my bank account and money was deducted from my bank account but not credited in my moru wallet
"Excellent Features Like Free Bank Transfer , More Cashback ! Moru Should Work On Enhancing UI . Please Bring New Update On UI Interface",5,2021-08-05 10:07:34,excellent features like free bank transfer more cashback moru should work on enhancing ui please bring new update on ui interface,Good,excellent features like free bank transfer more cashback moru should work on enhancing ui please bring new update on ui interface
very good app but need to add more bank option I didn't found my bank option need to update,3,2021-08-05 09:20:02,very good app but need to add more bank option i didnt found my bank option need to update,Neutral,very good app but need to add more bank option i didnt found my bank option need to update
nice app 👌👌👌,5,2021-08-05 00:27:00,nice app,Good,nice app
the apps is successful erny mobile mobile wallet,5,2021-08-04 08:09:30,the apps is successful erny mobile mobile wallet,Good,the apps is successful erny mobile mobile wallet
best earing app,5,2021-08-03 13:42:30,best earing app,Good,best earing app
Nice,5,2021-08-03 12:11:20,nice,Good,nice
Nice apps,5,2021-08-02 17:42:58,nice apps,Good,nice apps
best app😍,5,2021-08-02 17:05:52,best app,Good,best app
nice app👍👍👍👍👍,4,2021-08-02 12:29:42,nice app,Good,nice app
what a great app❤️,5,2021-08-02 06:48:42,what a great app,Good,what a great app
Why there is no counter deposit option available...?,3,2021-08-02 06:21:00,why there is no counter deposit option available,Neutral,why there is no counter deposit option available
Good for digital services all over Nepal,5,2021-08-01 23:19:36,good for digital services all over nepal,Good,good for digital services all over nepal
poor service,1,2021-08-01 22:13:14,poor service,Bad,poor service
Not so good,1,2021-07-31 21:36:47,not so good,Bad,not so good
best ape,5,2021-07-31 19:28:19,best ape,Good,best ape
worst apps,1,2021-07-30 08:20:47,worst apps,Bad,worst apps
"I think Very wonderful wallet app in nepal. It very good app for utility or other many payments. It can't be compare with esewa, khalti or other wallet because it is best.",5,2021-07-29 22:56:31,i think very wonderful wallet app in nepal it very good app for utility or other many payments it cant be compare with esewa khalti or other wallet because it is best,Good,i think very wonderful wallet app in nepal it very good app for utility or other many payments it cant be compare with esewa khalti or other wallet because it is best
Quick erning plz,5,2021-07-29 09:26:09,quick erning plz,Good,quick erning plz
nice🥰🥰🥰🥰,4,2021-07-28 18:10:24,nice,Good,nice
nice earn apps,4,2021-07-28 08:30:05,nice earn apps,Good,nice earn apps
best app,5,2021-07-28 07:58:45,best app,Good,best app
Free to Shift Cash Between Banks and it's Amazing!,4,2021-07-27 08:16:28,free to shift cash between banks and its amazing,Good,free to shift cash between banks and its amazing
